period,address,minimum_temperature,maximum_temperature,temperature,dew_point,relative_humidity,heat_index,wind_speed,wind_gust,wind_direction,precipitation,precipitation_cover,snow_depth,visibility,cloud_cover,sea_level_pressure,latitude,longitude,location,resolved_address
2008-12-31T16:0:0,Malaysia,74.9,93.3,81.6,75.3,82.12,108.1,12.8,,216.03,4,1.85,,5.9,90.8,1008.7,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-1-1T16:0:0,Malaysia,74.9,93.3,81.3,74.9,82.17,107.6,12.8,,209.06,1.8,1.82,,5.6,90.4,1009.1,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-1-10T16:0:0,Malaysia,71.7,95.1,81,74.4,81.49,107.8,12.8,,213.35,1.3,0.36,,5.3,90.7,1010.7,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-4-10T16:0:0,Malaysia,74.9,96.9,83.5,76.2,80.14,120.1,13.9,,256.5,1.1,2.18,,5.4,90.1,1009,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-4-11T16:0:0,Malaysia,73.5,95.1,83.6,77,81.72,116.4,13.9,,229.43,1,1.45,,5.4,90.5,1008.6,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-4-12T16:0:0,Malaysia,75.3,96.9,83.6,77.2,82.27,116.4,16.1,,231.26,1.4,2.91,,5.3,90.2,1008.7,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-4-13T16:0:0,Malaysia,75.3,96.9,83.6,76.7,81.19,115.6,12.8,,226.86,0.1,1.09,,5.6,90.5,1008.7,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-4-14T16:0:0,Malaysia,73.5,95.1,83.9,77,80.9,113.8,13.9,,206.84,1.6,0.73,,5.8,90.3,1008.9,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-4-15T16:0:0,Malaysia,76.7,96.9,83.6,76.9,81.63,113.1,15,,211.1,1.2,1.09,,5.4,90.7,1008.9,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-4-16T16:0:0,Malaysia,75.3,96.9,84.1,76.7,79.79,115.6,15,,222.94,0.9,1.82,,5.7,90.2,1008.8,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-4-17T16:0:0,Malaysia,75.3,98.7,83.9,77,80.92,115,16.1,,234.64,2.8,1.45,,5.7,90.2,1009,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-4-18T16:0:0,Malaysia,75.3,98.7,84.2,77.3,81.03,115.9,13.9,,224.08,0.4,0.73,,5.7,90.3,1009.1,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-4-19T16:0:0,Malaysia,75.8,96.9,83,77.1,83.54,116.4,16.1,,210.05,1.6,1.82,,5.4,90.9,1009.1,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-1-11T16:0:0,Malaysia,69.9,93.3,81.2,73.9,79.92,107.8,13.9,,219.66,1.4,1.45,,5.6,91,1010.7,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-4-20T16:0:0,Malaysia,73.5,96.9,83.2,76.4,81.26,116.4,17.2,,234.81,2.8,2.18,,5.5,90.2,1009.2,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-4-21T16:0:0,Malaysia,74,95.1,83.3,76.7,81.79,117.5,13.9,,235.11,3.7,1.45,,5.2,88.1,1009,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-4-22T16:0:0,Malaysia,77.1,96.9,83.7,77.2,82.1,115.2,15,,233.65,0.4,1.09,,5.2,90.5,1009.2,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-4-23T16:0:0,Malaysia,75.3,95.1,82.5,77.1,84.85,114.7,13.9,,227.73,5.7,2.18,,5.1,90.8,1009.5,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-4-24T16:0:0,Malaysia,73.5,95.1,83.7,76.7,81.01,113.8,13.9,,234.18,2.8,1.45,,5.3,90.3,1009.6,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-4-25T16:0:0,Malaysia,73.5,95.1,82.9,76.8,82.89,113.8,12.8,,219.31,0.6,0.73,,5.5,90.5,1010.1,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-4-26T16:0:0,Malaysia,75.3,95.1,83.4,76.7,81.56,113.8,12.8,,220.16,0,0.36,,5.4,90.5,1009.9,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-4-27T16:0:0,Malaysia,75.3,95.1,83.9,77.2,81.39,116.4,13.9,,209.18,0.3,0.73,,5.4,90.3,1009.2,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-4-28T16:0:0,Malaysia,75.3,96.9,83.7,76.9,81.32,116.5,15,,226.78,3.9,2.55,,5.4,90.7,1009.3,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-4-29T16:0:0,Malaysia,75.3,96.9,83.3,76.7,81.58,115.6,11.4,,230.85,3.1,1.09,,5.4,90.7,1009.4,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-1-12T16:0:0,Malaysia,71.7,93.3,81.2,74.2,80.83,105.4,17.2,,190.1,0.7,1.82,,5.5,91,1011.1,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-4-30T16:0:0,Malaysia,75.3,95.1,83.6,76.7,81.15,116.4,16.1,,242.75,1,1.82,,5.3,90.7,1009.4,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-5-1T16:0:0,Malaysia,75.3,96.9,82.9,76.9,83.42,113.8,12.8,,227.69,4,2.18,,5.3,90.9,1009.5,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-5-2T16:0:0,Malaysia,75.3,96.9,83.2,76.7,82.3,113.8,13.9,,212.69,0.5,1.45,,5.6,90.5,1008.6,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-5-3T16:0:0,Malaysia,73.5,97.1,83.1,76.6,81.91,118.9,18.3,,207.93,0.6,1.09,,5.6,90.3,1008.3,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-5-4T16:0:0,Malaysia,75.3,96.9,83.7,76.8,80.87,116.4,13.9,,241.53,1.9,1.09,,5.5,90.5,1008.4,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-5-5T16:0:0,Malaysia,77.1,96.9,84.3,77.2,80.58,116.4,15,,239.15,0.6,1.09,,5.6,90.6,1008.3,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-5-6T16:0:0,Malaysia,73.5,96.9,83.8,76.7,80.84,121.5,17.2,,241.82,2.3,0.73,,5.5,90.9,1008.2,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-5-7T16:0:0,Malaysia,77.1,96.9,83.8,76.6,80.34,116.4,13.9,,211.31,1.3,0.36,,5.6,90,1007.4,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-5-8T16:0:0,Malaysia,77.1,95.6,84.9,76.9,78.18,116.4,13.9,,205.35,0,0.36,,5.4,90.1,1008.1,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-5-9T16:0:0,Malaysia,75.3,96.9,84.3,77.1,80.09,116.4,16.1,,218.21,0.9,0.36,,5.5,90.6,1008.2,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-1-13T16:0:0,Malaysia,71.7,95.1,81.1,73.9,80.19,113.9,10.3,,202.01,0.3,1.45,,5.7,90.7,1011,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-5-10T16:0:0,Malaysia,75.3,95.1,84.5,76.7,78.71,117.5,11.4,,232.88,0,0,,5.5,90.2,1008.2,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-5-11T16:0:0,Malaysia,77.1,95.1,84,76.7,79.93,111.2,13.9,,205.28,2.2,0.73,,5.3,90.7,1007.9,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-5-12T16:0:0,Malaysia,75.3,96.9,84.3,77,79.84,116.4,13.9,,228.58,0.2,0.73,,5.4,90.3,1007.4,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-5-13T16:0:0,Malaysia,76.4,95.1,84.1,77.3,81.04,113.8,12.8,,203.45,1,1.09,,5.6,90.4,1007.6,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-5-14T16:0:0,Malaysia,74.6,96.9,84.1,77,80.43,116.4,12.8,,227,2.1,0.73,,5.5,90.4,1008.3,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-5-15T16:0:0,Malaysia,73.5,96.9,84.2,76.9,80.02,118.9,15,,203.65,0.1,0.36,,5.8,90.4,1008.4,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
2009-5-16T16:0:0,Malaysia,75.3,96.9,83.2,76.4,81.37,113.8,17.2,,202.12,1.9,1.82,,5.7,90.7,1008.8,3.1479,101.69405,POINT(101.69405 3.1479),Malaysia
